date,India,Germany,Italy,France,Russia
2020-01-31,1.0,5.0,2.0,5.0,2.0
2020-02-01,1.0,8.0,2.0,6.0,2.0
2020-02-02,2.0,10.0,2.0,6.0,2.0
2020-02-03,3.0,12.0,2.0,6.0,2.0
2020-02-04,3.0,12.0,2.0,6.0,2.0
2020-02-05,3.0,12.0,2.0,6.0,2.0
2020-02-06,3.0,12.0,2.0,6.0,2.0
2020-02-07,3.0,13.0,3.0,6.0,2.0
2020-02-08,3.0,13.0,3.0,11.0,2.0
2020-02-09,3.0,14.0,3.0,11.0,2.0
2020-02-10,3.0,14.0,3.0,11.0,2.0
2020-02-11,3.0,16.0,3.0,11.0,2.0
2020-02-12,3.0,16.0,3.0,11.0,2.0
2020-02-13,3.0,16.0,3.0,11.0,2.0
2020-02-14,3.0,16.0,3.0,11.0,2.0
2020-02-15,3.0,16.0,3.0,12.0,2.0
2020-02-16,3.0,16.0,3.0,12.0,2.0
2020-02-17,3.0,16.0,3.0,12.0,2.0
2020-02-18,3.0,16.0,3.0,12.0,2.0
2020-02-19,3.0,16.0,3.0,12.0,2.0
2020-02-20,3.0,16.0,3.0,12.0,2.0
2020-02-21,3.0,16.0,20.0,12.0,2.0
2020-02-22,3.0,16.0,62.0,12.0,2.0
2020-02-23,3.0,16.0,155.0,12.0,2.0
2020-02-24,3.0,16.0,229.0,12.0,2.0
2020-02-25,3.0,16.0,322.0,14.0,2.0
2020-02-26,3.0,21.0,453.0,18.0,2.0
2020-02-27,3.0,26.0,655.0,38.0,2.0
2020-02-28,3.0,53.0,888.0,57.0,2.0
2020-02-29,3.0,66.0,1128.0,100.0,2.0
2020-03-01,3.0,117.0,1694.0,130.0,2.0
2020-03-02,5.0,150.0,2036.0,191.0,3.0
2020-03-03,5.0,188.0,2502.0,212.0,3.0
2020-03-04,28.0,240.0,3089.0,288.0,3.0
2020-03-05,30.0,349.0,3858.0,426.0,4.0
2020-03-06,31.0,534.0,4636.0,616.0,13.0
2020-03-07,34.0,684.0,5883.0,948.0,13.0
2020-03-08,39.0,847.0,7375.0,1125.0,17.0
2020-03-09,43.0,1112.0,9172.0,1411.0,17.0
2020-03-10,56.0,1296.0,10149.0,1783.0,20.0
2020-03-11,62.0,1567.0,12462.0,2293.0,20.0
2020-03-12,73.0,2369.0,15113.0,2293.0,28.0
2020-03-13,82.0,3062.0,17660.0,3678.0,45.0
2020-03-14,102.0,3795.0,21157.0,4493.0,59.0
2020-03-15,113.0,4838.0,24747.0,4529.0,63.0
2020-03-16,119.0,6012.0,27980.0,6680.0,90.0
2020-03-17,142.0,7156.0,31506.0,7712.0,114.0
2020-03-18,156.0,8198.0,35713.0,9121.0,147.0
2020-03-19,194.0,10999.0,41035.0,10962.0,199.0
2020-03-20,244.0,13957.0,47021.0,12745.0,253.0
2020-03-21,330.0,16662.0,53578.0,14444.0,306.0
2020-03-22,396.0,18610.0,59138.0,16739.0,367.0
2020-03-23,499.0,22672.0,63927.0,20094.0,438.0
2020-03-24,536.0,27436.0,69176.0,22337.0,495.0
